team,bestScore,worstScore,totalScore,bestPoints,worstPoints,totalPoints,wins,losses,ties,streak,beststreak
Mirandés,55,31,297,59,41,354,89,108,87,3,4
Llagostera,44,41,85,57,44,101,27,37,20,2,3
Reus Deportiu,31,16,78,55,21,128,30,58,38,1,2
UCAM Murcia,42,42,42,48,48,48,11,16,15,2,2
Cultural Leonesa,54,54,54,48,48,48,11,16,15,2,2
Lorca FC,37,37,37,33,33,33,8,25,9,1,1
Extremadura,43,43,86,53,43,96,24,36,24,3,5
Rayo Majadahonda,46,46,46,45,45,45,12,21,9,2,2
Fuenlabrada,47,36,83,60,43,103,24,21,31,2,3
UD Logroñés,25,25,25,39,39,39,10,15,9,6,6
Academico Viseu,76,0,156,138,0,382,118,42,28,0,46
FC Maia,136,34,476,102,0,374,102,34,68,0,34
Uniao Lamas,136,0,238,102,0,238,68,34,34,0,34
SC Freamunde,170,0,370,138,0,450,140,76,30,0,46
SP. Covilhã,68,0,214,102,0,298,88,72,34,24,34
FC Marco,68,0,136,102,0,102,34,102,0,0,34
Ovarense,136,34,272,102,34,238,68,0,34,0,34
Gondomar,102,30,226,102,0,234,68,30,30,0,34
Vizela,150,56,308,102,84,276,92,0,0,28,34
Fatima,60,60,60,90,90,90,30,0,0,30,30
UD Oliveirense,76,0,272,126,0,484,140,46,64,0,42
Benfica II,138,42,464,138,42,480,132,0,84,28,46
Vitória Guimarães B,138,0,138,138,0,180,46,80,42,0,46
Atlético CP,46,42,88,138,126,264,88,0,0,46,46
Marítimo II,42,42,42,126,126,126,42,0,0,42,42
Sporting Braga II,42,38,122,42,0,80,0,42,80,0,0
Porto II,46,38,130,0,0,0,0,130,0,0,0
Sporting CP II,42,0,42,46,0,46,0,42,46,0,0
Cova Piedade,38,0,38,0,0,0,0,66,0,0,0
Real Sport Clube,152,152,152,114,114,114,38,0,0,38,38
Mafra,72,72,72,72,72,72,24,0,0,24,24
Ascoli,64,20,990,62,18,1077,265,360,282,2,5
Atalanta,98,25,1412,81,26,1546,407,342,325,4,9
Bologna,58,28,1065,84,22,1180,299,352,283,4,6
Cesena,66,24,1000,74,22,1092,259,332,315,1,5
Cremonese,63,27,523,70,20,558,126,207,180,2,8
Fiorentina,72,29,1420,74,22,1449,382,306,303,5,6
Genoa,72,27,1446,78,32,1487,371,417,374,5,5
Hellas Verona,67,24,1171,82,25,1294,328,356,310,4,8
Inter,81,28,1628,97,42,1792,513,208,253,11,14
Juventus,86,45,1772,102,50,2026,595,142,241,8,15
Lazio,89,33,1505,78,39,1552,432,285,256,6,8
Lecce,70,20,974,83,14,1015,257,316,244,6,6
Milan,85,36,1576,88,43,1796,511,200,263,4,11
Napoli,94,25,1583,91,14,1734,471,279,321,4,10
Roma,90,35,1633,87,41,1738,487,210,277,3,11
SSC Bari,65,26,1164,80,24,1333,333,354,334,3,6
Sampdoria,64,33,1487,71,36,1562,410,354,332,4,5
Udinese,65,32,1267,70,33,1314,346,364,276,5,8
Cagliari,83,29,1289,86,22,1358,343,407,329,5,7
Parma,65,29,1156,76,20,1286,338,300,272,3,7
Pisa,61,23,404,71,30,498,119,122,141,2,6
Torino,71,27,1418,83,27,1600,411,354,367,5,8
Calcio Foggia,67,31,516,72,34,530,135,144,125,3,4
Ancona,56,21,633,61,13,654,163,204,165,3,6
Brescia,69,18,1395,72,12,1496,374,375,374,4,5
Pescara,90,27,1282,83,18,1269,319,428,312,1,7
Piacenza,57,29,740,71,37,891,226,223,213,3,6
Reggiana,52,24,385,71,18,483,114,146,141,2,4
Padova,63,26,619,64,24,714,171,208,201,1,4
Vicenza ,69,30,975,68,36,1109,271,308,296,2,6
Perugia,67,38,628,74,32,707,181,155,164,2,7
Empoli,88,26,1149,85,30,1254,329,296,267,3,6
Chievo,77,25,1038,85,20,1194,293,332,315,4,6
Venezia,62,30,673,69,18,776,186,209,218,4,6
Modena,65,27,797,72,30,923,223,251,254,2,4
Reggina,63,29,733,68,29,864,208,247,240,2,4
Siena,67,33,557,77,31,623,153,181,164,3,5
Livorno,77,27,711,80,21,720,178,236,186,1,5
Messina,74,28,367,82,26,415,97,134,124,3,4
Palermo FC,78,32,1069,86,26,1161,298,286,267,3,6
Treviso,58,24,443,64,21,466,109,156,139,1,4
Catania,67,33,602,78,32,641,163,199,152,5,6
Novara,73,35,358,70,32,380,98,106,86,3,7
Sassuolo,78,29,693,85,34,715,188,167,151,5,5
Carpi,59,32,258,80,29,320,82,86,74,2,5
Frosinone,65,29,569,74,25,617,159,184,140,2,6
Crotone,63,34,807,82,15,839,220,277,179,4,5
Benevento,67,30,247,86,21,263,74,69,41,7,7
SPAL,66,27,245,78,20,267,66,92,69,6,6
Spezia,59,38,530,67,32,583,147,151,142,4,4
AC Monza,48,24,285,52,28,331,72,112,115,3,3
Avellino,52,27,539,59,36,602,145,222,167,2,6
Barletta,29,24,53,43,36,79,17,31,28,2,2
Catanzaro,40,16,82,28,26,82,15,70,37,2,2
Como,53,16,167,74,33,207,48,91,63,2,6
Cosenza Calcio,49,27,502,60,36,623,150,171,173,2,5
Licata,22,22,22,34,34,34,6,16,16,1,1
Triestina ,55,33,476,64,37,552,132,166,156,2,4
AS Lucchese Libertas 1905,49,29,332,54,37,401,82,105,155,2,3
Salernitana,65,28,850,72,23,926,227,275,245,3,5
Taranto,30,26,84,47,33,124,25,40,49,2,2
Casertana,31,31,31,43,43,43,8,11,19,1,1
Fidelis Andria,42,27,208,48,38,262,52,70,106,3,3
Ternana Calcio,64,25,691,69,22,737,175,223,212,2,4
Acireale,32,27,59,43,41,84,18,28,30,2,2
Ravenna FC,48,33,289,55,25,298,69,110,91,2,3
Pistoiese,46,35,158,49,32,159,38,69,45,2,2
Castel Sangro,29,29,29,44,44,44,12,18,8,2,2
Castel di Sangro,38,38,38,30,30,30,5,18,15,2,2
AlzanoCene,39,39,39,42,42,42,10,16,12,2,2
FC Savoia 1908,36,36,36,29,29,29,6,21,11,1,1
Fermana,36,36,36,29,29,29,6,21,11,1,1
Cittadella,62,39,691,66,37,721,182,204,175,4,5
AlbinoLeffe,67,38,455,78,30,479,119,142,122,2,5
AC Arezzo,51,42,138,66,51,168,41,40,45,5,5
Mantova,56,41,236,69,48,293,71,59,80,1,5
Rimini,68,42,208,69,48,234,61,56,51,2,5
Grosseto,66,43,311,64,34,308,72,88,92,1,3
Gallipoli ,43,43,43,40,40,40,10,22,10,2,2
Calcio Portogruaro-Summaga,39,39,39,40,40,40,10,22,10,2,2
Varese,57,40,254,71,39,286,73,70,67,1,4
AS Gubbio 1910,37,37,37,32,32,32,7,24,11,1,1
Juve Stabia,54,37,191,61,19,171,41,75,48,2,4
Nocerina,52,52,52,40,40,40,10,22,10,2,2
Pro Vercelli,47,35,208,49,33,217,50,93,67,2,2
Virtus Lanciano,50,43,186,60,48,206,46,54,68,3,3
Latina,44,38,164,68,39,203,45,55,68,2,4
Trapani,64,45,271,73,44,273,68,69,69,3,8
Virtus Entella,54,25,254,64,22,279,66,92,81,3,3
Nuova Cosenza,50,26,110,46,32,124,28,39,40,1,5
Pordenone,48,33,81,58,37,95,24,23,23,3,3
